_editors_choice,_game_types,_comments,_price,_updated,_size,_installs,_version,_required_android,_content_rating,_interactive_elements,_in_app_products,_offered_by,_developer
0,"['SEGA', 'Simulation']",108 total,"₹1,799.00 Buy",30 November 2020,Varies with device,"1,000+",Varies with device,7.0 and up,"Rated for 3+
Learn more",In-game purchases,₹89.00 – ₹449.00 per item,SEGA,"Visit website
help@sega.co.uk
Privacy Policy
Sega of America, Inc 6400 Oak Canyon, Suite 100 Irvine, CA 92618"
0,"['My Town Games Ltd', 'Educational']",175 total,₹70.00 Buy,30 October 2020,53M,"10,000+",1.0.3,4.4 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['Team 17 Digital Limited', 'Arcade']","70,645 total",₹380.00 Buy,22 February 2018,13M,"1,000,000+",2.06,2.3 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,₹50.00 – ₹159.15 per item,Team 17 Digital Limited,"Visit website
help@team17support.com
Privacy Policy
Castleview House Calder Island Office Park Wakefield WF27AW United Kingdom"
Ages up to 12,"['CLEVERBIT', 'Educational']",176 total,₹139.00 Buy,20 August 2020,Varies with device,"10,000+",3.3.7,4.1 and up,"Rated for 3+
Learn more",none,none,CLEVERBIT,"Visit website
info@cleverbit.net
Privacy Policy
Office 311, ul. K. Marksa 300A, Izhevsk 426000, Russia"
0,"['My Town Games Ltd', 'Educational']",956 total,₹70.00 Buy,8 May 2020,47M,"50,000+",1.13,4.1 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['AGaming+', 'Action']","9,999 total",₹20.00 Buy,30 May 2020,27M,"100,000+",3.00,5.0 and up,"Rated for 12+
Moderate violence, Horror
Learn more",none,none,AGaming+,"Visit website
agamingandroid@gmail.com
Privacy Policy
Ukraine, Kiev region., 07400 Brovary Karalenka"
0,"['AGaming+', 'Action']","5,688 total",₹20.00 Buy,18 November 2020,27M,"100,000+",1.06,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,none,AGaming+,"Visit website
agamingandroid@gmail.com
Privacy Policy
Ukraine, Kiev region., 07400 Brovary Karalenka"
0,"['Gluten Free Games LLC', 'Simulation']",809 total,₹80.00 Buy,18 June 2019,Varies with device,"10,000+",Varies with device,Varies with device,"Rated for 12+
Moderate violence
Learn more",none,none,Gluten Free Games LLC,"Visit website
chris@glutenfreegaming.com
Privacy Policy
10530 SW 144th Ave Miami, FL 33186"
0,"['My Town Games Ltd', 'Educational']","1,299 total",₹70.00 Buy,8 May 2020,44M,"50,000+",1.11,4.1 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['Amanita Design', 'Adventure']","60,343 total",₹250.00 Buy,28 February 2019,13M,"500,000+",2.5.6,4.1 and up,"Rated for 7+
Mild violence
Learn more",none,none,Amanita Design,"Visit website
support@amanita-design.net
Privacy Policy
Na Hrádku 2, 128 00 Praha, Česká republika"
0,"['Will Anderson Grippa', 'Arcade']",61 total,₹35.00 Buy,27 November 2020,50M,100+,11.0,4.3 and up,"Rated for 3+
Learn more",none,none,Will Anderson Grippa,"will-anderson22@hotmail.com
Rua Faustiniano Falcão, 01 Vila Batista Vila Velha - ES Brasil"
Ages up to 8,"['Entertainment One', 'Racing']","3,314 total",₹380.00 Buy,20 November 2020,37M,"1,000,000+",2.0.5,4.4 and up,"Rated for 3+
Learn more",none,none,Entertainment One,"Visit website
support@pjmasks.com
Privacy Policy
45 Warren Street London W1T 6AG"
0,"['Gameloft SE', 'Action']","2,39,407 total",₹599.00 Buy,17 September 2018,27M,"1,000,000+",1.2.3e,2.3 and up,"Rated for 16+
Strong violence
Learn more","Users interact, In-game purchases","₹179.00 – ₹8,900.00 per item",Gameloft SE,"Visit website
android.support@gameloft.com
Privacy Policy
14 rue Auber 75009 Paris"
0,"['MyChessApps.com', 'Board']","1,493 total",₹149.00 Buy,30 November 2020,23M,"10,000+",5.4.7,4.1 and up,"Rated for 3+
Learn more",none,none,MyChessApps.com,"Visit website
hello@mychessapps.com
Privacy Policy
201. Kadugodi. Bangalore. 560067 Karnataka India"
0,"['DreamSky', 'Action']","2,724 total",₹10.00 Buy,22 September 2020,49M,"100,000+",1.1.8,4.0.3 and up,"Rated for 7+
Mild violence
Learn more","Users interact, In-game purchases","₹85.00 – ₹8,500.00 per item",DreamSky,"Visit website
leagueofstickman@dreamsky.me
Privacy Policy
Rooms 05-15, 13A/F., South Tower, World Finance Centre, Harbour City, 17 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong. Tel：00852-22060092 Fax：00852-30030133"
All ages,"['Joel McDonald', 'Puzzle']","4,295 total",₹340.00 Buy,12 June 2020,53M,"100,000+",1.1.4,4.4 and up,"Rated for 3+
Learn more",none,none,Joel McDonald,"Visit website
support@prunegame.com
Privacy Policy
733 Struck St, Madison, WI 53711"
Ages 6–12,"['My Town Games Ltd', 'Educational']","10,729 total",₹70.00 Buy,24 April 2020,45M,"100,000+",2.18,4.1 and up,"Rated for 3+
Learn more",none,₹70.00 per item,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['Atypical Games', 'Arcade']","14,304 total",₹350.00 Buy,31 March 2016,10M,"100,000+",1.0.5,4.1 and up,"Rated for 7+
Implied violence
Learn more","Users interact, Digital purchases",₹61.28 – ₹310.79 per item,Atypical Games,"Visit website
support@atypicalgames.com
Privacy Policy
Bucharest, Romania"
0,"['Pixelbite', 'Racing']","20,000 total",₹190.00 Buy,3 November 2016,32M,"100,000+",1.2.1,4.0.3 and up,"Rated for 3+
Learn more",Digital purchases,"₹59.51 – ₹1,105.22 per item",Pixelbite,"Visit website
support@pixelbite.se
Privacy Policy
Oceangatan 3 25225 Helsingborg Sweden"
0,"['Brownmonster Limited', 'Racing']","3,725 total",₹480.00 Buy,30 November 2020,124M,"50,000+",1.98,4.4 and up,"Rated for 3+
Learn more",none,₹190.00 – ₹280.00 per item,Brownmonster Limited,"Visit website
rushrally@brownmonster.co.uk
Privacy Policy
33 Coton Road, Nuneaton, Warwickshire, England, CV11 5TW"
0,"['Robot Gentleman', 'Adventure']","14,817 total",₹260.00 Buy,5 May 2020,30M,"500,000+",1.3.121,4.1 and up,"Rated for 12+
Mild swearing
Learn more",none,none,Robot Gentleman,"Visit website
support@robotgentleman.com
Privacy Policy
Garbary 64 61-758 Poznań Poland"
0,"['Joey Drew Studios', 'Adventure']","10,112 total",₹549.00 Buy,25 April 2019,56M,"100,000+",1.0.829,6.0 and up,"Rated for 12+
Moderate violence
Learn more",none,none,Joey Drew Studios,"Visit website
batim@joeydrewstudios.com
Privacy Policy
C/O Andrews & Co. Accountants 540 Lacolle Way Orleans, ON K4A 0N9"
0,"['Blyts', 'Adventure']","2,932 total",₹250.00 Buy,25 August 2020,84M,"50,000+",1.5,4.1 and up,"Rated for 3+
Learn more",In-game purchases,none,Blyts,"Visit website
infamousmachine@blyts.com
Privacy Policy
Adolfo Alsina 1533, Florida, Argentina"
Ages up to 8,"['Nickelodeon', 'Educational']","2,433 total",₹270.00 Buy,3 July 2018,24M,"100,000+",3.3,4.0 and up,"Rated for 3+
Learn more",none,₹130.00 per item,Nickelodeon,"Visit website
appsupport@nickjr.com
Privacy Policy
1515 Broadway New York, NY 10036"
0,"['SNK CORPORATION', 'Arcade']","17,952 total",₹249.00 Buy,21 March 2017,7.1M,"100,000+",1.5,2.3.3 and up,"Rated for 12+
Moderate violence
Learn more",Users interact,none,SNK CORPORATION,"Visit website
info_snkplaymore_android_app@snk-corp.co.jp
1-16-17 Esaka-cho, Suita, Osaka, Japan 564-0063"
0,"['Mageeks Apps & Games', 'Simulation']","4,980 total",₹520.00 Buy,3 August 2018,41M,"100,000+",1.2,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹200.00 – ₹2,650.00 per item",Mageeks Apps & Games,"Visit website
support@mageeks.com
Privacy Policy
ul. Płatowcowa 13 02-635, Warszawa Polska"
0,"['Bigben Interactive SA', 'Racing']","2,040 total",₹250.00 Buy,24 September 2015,13M,"10,000+",1.2.7,4.0 and up,"Rated for 3+
Learn more","Shares info, Digital purchases","₹60.00 – ₹1,120.00 per item",Bigben Interactive SA,"Visit website
hotline@bigben.fr
Privacy Policy
BIGBEN INTERACTIVE SA 396, Rue de la Voyette CRT2 – FRETIN CS 90414 59814 LESQUIN Cedex"
0,"['Unimob', 'Strategy']","1,825 total",₹20.00 Buy,3 November 2020,108M,"100,000+",1.8.1,4.4 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹40.00 – ₹2,170.00 per item",Unimob,"Visit website
support@unimobgame.com
Privacy Policy
Ha Noi - Viet Nam"
0,"['Noodlecake Studios Inc', 'Action']",904 total,₹350.00 Buy,7 May 2019,45M,"10,000+",1.1.6,4.4 and up,"Rated for 16+
Strong violence
Learn more",none,none,Noodlecake Studios Inc,"Visit website
support+ls@noodlecake.com
Privacy Policy
#207 - 262 Avenue B South Saskatoon, SK, Canada S7M 1M4"
0,"['ustwo games', 'Puzzle']","56,310 total",₹400.00 Buy,23 January 2020,60M,"1,000,000+",1.3.15,4.4 and up,"Rated for 3+
Learn more",none,none,ustwo games,"Visit website
support@monumentvalleygame.com
Privacy Policy
56 Shoreditch High Street London UK E1 6JJ"
0,"['My Town Games Ltd', 'Educational']","11,839 total",₹70.00 Buy,12 May 2020,47M,"100,000+",1.51,4.1 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['Asmodee Digital', 'Board']","4,525 total",₹400.00 Buy,5 May 2020,29M,"100,000+",2.4.0,4.4 and up,"Rated for 3+
Learn more","Users interact, Digital purchases",₹130.00 – ₹240.00 per item,Asmodee Digital,"Visit website
support@asmodee.net
Privacy Policy
54 rue de Clichy 75009 Paris France"
0,"['Workaround App', 'Card']",10 total,₹90.00 Buy,18 October 2020,9.7M,50+,1.0,5.0 and up,"Rated for 3+
Learn more",none,none,Workaround App,"workaroundapps17@gmail.com
Privacy Policy"
0,"['Cartoon Network', 'Action']","1,950 total",₹250.00 Buy,20 May 2020,39M,"50,000+",2.0,5.1 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,"₹65.00 – ₹1,350.00 per item",Cartoon Network,"Visit website
advanced.platforms@turner.com
Privacy Policy
1050 Techwood Drive Atlanta, GA 30318"
0,"['My Town Games Ltd', 'Educational']","1,240 total",₹70.00 Buy,18 May 2020,45M,"50,000+",1.10,4.1 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"Visit website
info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['errorsevendev', 'Puzzle']","3,093 total",₹15.00 Buy,15 January 2018,32M,"100,000+",2.01,4.0.3 and up,"Rated for 3+
Learn more",none,none,errorsevendev,"Visit website
apexcreativegames@gmail.com
Privacy Policy
8 Wearne Place, Dawesville, WA 6211 Australia"
0,"['ZeptoLab', 'Puzzle']","72,472 total",₹70.00 Buy,19 June 2018,43M,"1,000,000+",3.7.0,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹60.59 – ₹1,899.99 per item",ZeptoLab,"Visit website
support@zeptolab.com
Privacy Policy
2 Eaton Gate, London, SW1W 9BJ United Kingdom"
Ages 6–12,"['My Town Games Ltd', 'Educational']",79 total,₹70.00 Buy,29 October 2020,62M,"1,000+",1.0.0,4.4 and up,"Rated for 3+
Learn more",none,none,My Town Games Ltd,"info@my-town.com
Privacy Policy
Ha-Rekhev St 1, Tel Aviv-Yafo"
0,"['Disney', 'Adventure']","38,719 total",₹320.00 Buy,13 February 2020,4.6M,"500,000+",1.4.2,4.3 and up,"Rated for 3+
Learn more",none,none,Disney,"Visit website
support@disneymobile.com
Privacy Policy
500 South Buena Vista Street Burbank, CA 91521-0105 United States"
0,"['Red Rock', 'Simulation']",130 total,₹55.00 Buy,27 January 2020,54M,"1,000+",1.34,4.1 and up,"Rated for 3+
Learn more",none,none,Red Rock,"gbandrewgb@gmail.com
Privacy Policy"
Editors' Choice,"['GARENA INTERNATIONAL I PRIVATE LIMITED', 'Action']","7,09,71,838 total",Install,5 December 2020,46M,"500,000,000+",1.56.1,4.1 and up,"Rated for 12+
Moderate violence
Learn more","Users interact, In-game purchases","₹10.00 – ₹9,000.00 per item",GARENA INTERNATIONAL I PRIVATE LIMITED,"Visit website
freefire@garena.com
Privacy Policy
1 FUSIONOPOLIS PLACE, 17-10, GALAXIS, Singapore"
0,"['Supersonic Studios LTD', 'Arcade']","4,20,241 total",Install,26 November 2020,64M,"100,000,000+",2.18.2,5.0 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,₹390.00 – ₹800.00 per item,Supersonic Studios LTD,"Visit website
contact@supersonic.com
Privacy Policy
Menachem Begin 121, Tel Aviv"
0,"['Ivy', 'Arcade']","6,35,385 total",Install,27 November 2020,60M,"100,000,000+",4.8.8,4.1 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,"₹10.00 – ₹1,300.00 per item",Ivy,"Visit website
help@ivymobile.com
Privacy Policy
30 N Gould St Ste R Sheridan, WY 8280, United States"
0,"['Kwalee Ltd', 'Casual']","17,774 total",Install,4 December 2020,83M,"1,000,000+",1.1.4,5.0 and up,"Rated for 3+
Learn more",none,₹50.00 – ₹100.00 per item,Kwalee Ltd,"Visit website
support@kwalee.com
Privacy Policy
Kwalee Ltd Southam Road Radford Semele Leamington Spa CV31 1FQ"
Editors' Choice,"['Playrix', 'Casual']","1,01,09,541 total",Install,1 December 2020,142M,"100,000,000+",4.9.0,4.2 and up,"Rated for 3+
Learn more",Digital purchases,"₹35.00 – ₹8,900.00 per item",Playrix,"Visit website
gardenscapes@playrix.com
Privacy Policy
4th floor, Red Oak North, South County Business Park, Leopardstown, Dublin 18 D18 X5K7, Ireland"
0,"['Imangi Studios', 'Arcade']","46,22,006 total",Install,4 December 2020,42M,"500,000,000+",1.15.0,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹85.00 – ₹1,650.00 per item",Imangi Studios,"Visit website
support-android@imangistudios.com
Privacy Policy
Imangi Studios 4601 Six Forks Rd Suite 121 Raleigh, NC 27609"
0,"['Gametion Technologies Pvt Ltd', 'Board']","66,37,017 total",Install,11 November 2020,50M,"100,000,000+",5.6.0.171,4.1 and up,"Rated for 3+
Learn more","Users interact, In-game purchases","₹10.00 – ₹13,500.00 per item",Gametion Technologies Pvt Ltd,"Visit website
support@ludoking.com
Privacy Policy
Mumbai, India"
0,"['Azura Global', 'Puzzle']","2,58,524 total",Install,9 December 2020,82M,"10,000,000+",1.1.10,5.0 and up,"Rated for 3+
Learn more",none,₹80.00 – ₹500.00 per item,Azura Global,"Visit website
azura.infor@gmail.com
Privacy Policy
Pulau Tekong, Singapore"
0,"['Ruby Game Studio', 'Action']","14,29,903 total",Install,18 November 2020,43M,"100,000,000+",1.31,4.4 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,₹130.00 – ₹600.00 per item,Ruby Game Studio,"Visit website
info@rubygamestudio.com
Privacy Policy
ERZENE MAH. ANKARA CAD. EBILTEM NO: 172 /14, 35100, Bornova/IZMIR"
0,"['Hazel Mobile Games', 'Adventure']","1,21,185 total",Install,28 October 2020,27M,"50,000,000+",4.3,4.4 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,"₹850.00 – ₹8,400.00 per item",Hazel Mobile Games,"Visit website
hazelmobilegames@gmail.com
Privacy Policy"
0,"['Miniclip.com', 'Sports']","26,55,886 total",Install,23 September 2020,33M,"100,000,000+",5.0.3,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹49.00 – ₹5,500.00 per item",Miniclip.com,"Visit website
support@miniclip.com
Privacy Policy
Miniclip SA Case Postale 2671 2001 Neuchâtel Switzerland"
0,"['2020 Games', 'Adventure']","34,025 total",Install,20 November 2020,83M,"10,000,000+",1.24,4.4 and up,"Rated for 3+
Learn more",none,"₹85.00 – ₹5,900.00 per item",2020 Games,"Visit website
feedback.2020Games@gmail.com
Privacy Policy
Pakistan"
Editors' Choice,"['SYBO Games', 'Arcade']","3,45,88,271 total",Install,9 December 2020,143M,"1,000,000,000+",2.10.0,4.4 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹70.00 – ₹7,900.00 per item",SYBO Games,"Visit website
subwaysurfers@sybo.zendesk.com
Privacy Policy
Jorcks Passage 1A, 4. th. 1162 Copenhagen Denmark"
Editors' Choice,"['Imangi Studios', 'Action']","94,44,004 total",Install,20 November 2020,92M,"500,000,000+",1.72.0,4.1 and up,"Rated for 7+
Fear
Learn more",In-game purchases,"₹35.00 – ₹4,200.00 per item",Imangi Studios,"Visit website
support-android@imangistudios.com
Privacy Policy
Imangi Studios 4601 Six Forks Rd Suite 121 Raleigh, NC 27609"
0,"['King', 'Casual']","2,99,84,285 total",Install,2 December 2020,Varies with device,"1,000,000,000+",1.191.0.3,4.1 and up,"Rated for 3+
Learn more","Users interact, Shares info, Digital purchases","₹29.00 – ₹11,900.00 per item",King,"Visit website
candycrush.techhelp@king.com
Privacy Policy
King.com Limited Aragon Business Centre, Level 4, Dragonara Road, St Julians STJ3140, Malta"
0,"['Steel Cloud Studio', 'Role Playing']","34,349 total",Install,26 July 2020,25M,"10,000,000+",1.3.6,4.1 and up,"Rated for 3+
Learn more",In-game purchases,"₹1,750.00 per item",Steel Cloud Studio,"Visit website
officialsteelcloud@gmail.com
Privacy Policy"
0,"['CASUAL AZUR GAMES', 'Action']","17,45,216 total",Install,31 October 2020,32M,"100,000,000+",1.6.1,5.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹180.00 – ₹9,400.00 per item",CASUAL AZUR GAMES,"Visit website
support@wildspike.com
Privacy Policy
30929, Thuraya 1 Building, Premises 1009, Floor 10, Dubai"
0,"['Lucky Coins', 'Casual']","1,66,569 total",Install,10 December 2020,89M,"10,000,000+",1.3.1,5.0 and up,"Rated for 3+
Learn more",none,none,Lucky Coins,"Visit website
feedback@urluckytoss.com
Privacy Policy"
0,"['VOODOO', 'Casual']","15,509 total",Install,19 November 2020,66M,"5,000,000+",1.4e,7.0 and up,"Rated for 3+
Learn more",In-game purchases,₹280.00 per item,VOODOO,"Visit website
contact@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['Focus apps', 'Puzzle']","39,23,934 total",Install,26 November 2020,57M,"100,000,000+",1.4.12,4.3 and up,"Rated for 3+
Learn more",In-game purchases,₹90.00 – ₹920.00 per item,Focus apps,"Visit website
focusapps@hotmail.com
Privacy Policy
348-350 Lockhart Road, Wanchai Hong Kong"
0,"['VOODOO', 'Racing']","1,07,877 total",Install,8 December 2020,62M,"10,000,000+",1.9,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹280.00 per item,VOODOO,"Visit website
contact@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['Fingersoft', 'Racing']","99,62,946 total",Install,23 November 2020,57M,"500,000,000+",1.47.5,4.2 and up,"Rated for 3+
Learn more",Digital purchases,"₹40.00 – ₹1,001.00 per item",Fingersoft,"Visit website
support@fingersoft.com
Privacy Policy
Fingersoft Oy Aleksanterinkatu 4-6 90100 Oulu"
0,"['Bubble Shooter', 'Casual']","12,01,329 total",Install,1 December 2020,23M,"100,000,000+",12.1.9,4.1 and up,"Rated for 3+
Learn more",Digital purchases,"₹34.99 – ₹8,300.00 per item",Bubble Shooter,"Visit website
supportoriginal@ilyon.net
Privacy Policy
Lev Haarets Rosh Haayin"
0,"['Top Actions', 'Action']","2,25,365 total",Install,17 November 2020,62M,"50,000,000+",1.5.20,4.1 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹90.00 – ₹4,500.00 per item",Top Actions,"Visit website
topactionsgame@gmail.com
Privacy Policy
111 N Broad St,Norwich,NewYork,US"
0,"['Playgendary Limited', 'Action']","3,51,660 total",Install,3 December 2020,80M,"50,000,000+",1.11.1,5.0 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹159.00 – ₹1,199.00 per item",Playgendary Limited,"Visit website
support@playgendary.com
Privacy Policy
Maximos Michailidis 6 MAXIMOS PLAZA TOWER 3 3106 Limassol Cyprus support@playgendary.com"
0,"['The Knights Pvt Ltd', 'Simulation']","76,346 total",Install,25 November 2020,46M,"10,000,000+",2.48,4.4 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,₹65.00 – ₹690.00 per item,The Knights Pvt Ltd,"Visit website
knights.techhelp@gmail.com
Privacy Policy
Saham, Oman"
0,"['Fighting Arena', 'Adventure']","70,777 total",Install,4 December 2020,Varies with device,"10,000,000+",1.3.4,4.4 and up,"Rated for 16+
Strong violence
Learn more",In-game purchases,₹85.00 – ₹520.00 per item,Fighting Arena,"Visit website
ask.fightingarenainc@gmail.com
Privacy Policy
Johar town, Lahore"
0,"['VOODOO', 'Action']","3,15,846 total",Install,10 November 2020,104M,"50,000,000+",1.740,4.4 and up,"Rated for 3+
Learn more",In-game purchases,₹280.00 per item,VOODOO,"Visit website
contact@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['SUD Inc.', 'Racing']","58,95,313 total",Install,14 September 2020,12M,"100,000,000+",1.64,4.1 and up,"Rated for 12+
Mild swearing
Learn more",In-game purchases,₹122.45 – ₹614.53 per item,SUD Inc.,"Visit website
updown.an@gmail.com
Privacy Policy
#404 39, Geomeundeul 3-gil, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea"
0,"['Imperial Arts Pty Ltd', 'Adventure']","78,586 total",Install,26 November 2020,Varies with device,"50,000,000+",4.3,4.1 and up,"Rated for 3+
Learn more",none,₹85.00 – ₹400.00 per item,Imperial Arts Pty Ltd,"Visit website
imperialproductions@outlook.com
Privacy Policy
1/14 Barber avenue, Eastlakes, postal code 2018 Australia."
0,"['Aviva Sun', 'Board']","1,43,665 total",Install,18 November 2020,Varies with device,"10,000,000+",1.2.3.1,5.0 and up,"Rated for 12+
Simulated gambling
Learn more",Users interact,"₹90.00 – ₹26,000.00 per item",Aviva Sun,"Visit website
games@yalla.live
Privacy Policy
Dubai Internet City, Dubai, United Arab Emirates"
0,"['VOODOO', 'Casual']","2,70,795 total",Install,10 December 2020,47M,"50,000,000+",2.4,4.4 and up,"Rated for 3+
Learn more",none,₹280.00 per item,VOODOO,"Visit website
support@voodoo.io
Privacy Policy
4 rue Jules Lefebvre, 75009 Paris"
0,"['Naxeex Studio', 'Action']","8,31,566 total",Install,20 November 2020,100M,"100,000,000+",5.17.190,4.1 and up,"Rated for 16+
Strong violence
Learn more",none,"₹20.00 – ₹9,500.00 per item",Naxeex Studio,"Visit website
feedback@naxeex.com
Privacy Policy
30B Gladstonos, 3041 Limassol, Cyprus"
0,"['Naxeex Ltd', 'Action']","9,00,743 total",Install,3 December 2020,92M,"100,000,000+",4.8.1,4.4 and up,"Rated for 18+
Extreme violence, Simulated gambling
Learn more",In-game purchases,"₹15.00 – ₹8,300.00 per item",Naxeex Ltd,"Visit website
feedback@naxeex.com
Privacy Policy
30B Gladstonos, 3041 Limassol, Cyprus"
0,"['Good Job Games', 'Racing']","18,57,913 total",Install,2 December 2020,Varies with device,"100,000,000+",1.7.5,5.0 and up,"Rated for 3+
Learn more",none,₹360.00 per item,Good Job Games,"Visit website
contact@goodjobgames.com
Privacy Policy
Akat Mahallesi Besiktas Istanbul Turkey"
0,"['Italic Games', 'Racing']","7,24,045 total",Install,30 May 2019,21M,"100,000,000+",1.0.9,4.0 and up,"Rated for 3+
Learn more",Digital purchases,"₹129.00 – ₹6,479.00 per item",Italic Games,"Visit website
contact@italy-games.com
Privacy Policy
Start Chambers, Wickham’s Cay II, P. O. Box 2221, Road Town, Tortola, British Virgin Island"
0,"['Jima Apps', 'Role Playing']","75,778 total",Install,23 November 2020,74M,"50,000,000+",1.1.2,4.4 and up,"Rated for 12+
Sexual innuendo
Learn more",none,"₹820.00 – ₹9,800.00 per item",Jima Apps,"Visit website
crownapps94@gmail.com
Privacy Policy
Khlong Toei, Bangkok, Thailand"
0,"['Kwalee Ltd', 'Casual']","11,251 total",Install,18 November 2020,71M,"1,000,000+",1.2.2,5.0 and up,"Rated for 7+
Mild violence
Learn more",In-game purchases,₹50.00 – ₹100.00 per item,Kwalee Ltd,"Visit website
support@kwalee.com
Privacy Policy
Kwalee Ltd Southam Road Radford Semele Leamington Spa CV31 1FQ"
Editors' Choice,"['Innersloth LLC', 'Action']","85,08,389 total",Install,26 November 2020,76M,"100,000,000+",2020.11.17,4.4 and up,"Rated for 7+
Mild violence
Learn more",Digital purchases,₹80.00 – ₹250.00 per item,Innersloth LLC,"Visit website
support@innersloth.com
Privacy Policy
PO Box 2532 Redmond, WA 98073"
0,"['Outfit7 Limited', 'Casual']","12,62,036 total",Install,20 November 2020,95M,"100,000,000+",1.4.1.3,4.4 and up,"Rated for 3+
Learn more",In-game purchases,"₹170.00 – ₹8,600.00 per item",Outfit7 Limited,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus"
0,"['MT Casual Inc.', 'Puzzle']","38,129 total",Install,1 December 2020,Varies with device,"5,000,000+",1.2.6,4.4 and up,"Rated for 12+
Moderate violence
Learn more",none,none,MT Casual Inc.,"Visit website
mini.games.188@gmail.com
Privacy Policy
Shanghai Min Hang Distinct Wan Yuan Road"
0,"['Enjoy.GameStudio.Fun', 'Role Playing']","35,973 total",Install,18 November 2020,Varies with device,"10,000,000+",1.0.11.11,4.1 and up,"Rated for 12+
Moderate violence
Learn more",In-game purchases,"₹180.00 – ₹8,800.00 per item",Enjoy.GameStudio.Fun,"Visit website
fun.game.jhon@gmail.com
Privacy Policy
15-17 Hing Yip Street, Kwun Tong, Kowloon, Hong Kong"
0,"['Fast Free Games', 'Racing']","6,18,954 total",Install,23 June 2020,Varies with device,"100,000,000+",Varies with device,Varies with device,"Rated for 3+
Learn more",Digital purchases,₹170.00 – ₹820.00 per item,Fast Free Games,"Visit website
dzkdes@gmail.com
Privacy Policy
Etlik Ankara/Turkey"
0,"['Soner Kara', 'Racing']","73,59,294 total",Install,17 July 2020,109M,"100,000,000+",1.70,5.0 and up,"Rated for 3+
Learn more",Digital purchases,"₹170.00 – ₹8,400.00 per item",Soner Kara,"Visit website
trafficridergame@gmail.com
Privacy Policy
Susuz Mah, Etimesgut, 06820, Ankara / TURKEY"
0,"['Spark Game Studios', 'Adventure']","30,669 total",Install,2 December 2020,53M,"5,000,000+",1.38,4.4 and up,"Rated for 3+
Learn more",none,"₹120.00 – ₹3,300.00 per item",Spark Game Studios,"Visit website
dutytocraftgames@gmail.com
Privacy Policy
SparkGames Studios, KP IT Park, PTCL Training Center, Board Bazar, Peshawar, Pakistan"
0,"['Outfit7 Limited', 'Casual']","21,71,021 total",Install,7 September 2020,55M,"100,000,000+",3.7.2.28,4.4 and up,"Rated for 3+
Learn more","Users interact, In-app purchases",₹60.00 – ₹850.00 per item,Outfit7 Limited,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus"
0,"['Ruby Game Studio', 'Puzzle']","19,610 total",Install,7 December 2020,86M,"5,000,000+",2.5.7,5.0 and up,"Rated for 3+
Learn more",In-game purchases,₹260.00 per item,Ruby Game Studio,"Visit website
info@rubygamestudio.com
Privacy Policy
ERZENE MAH. ANKARA CAD. EBILTEM NO: 172 /14, 35100, Bornova/IZMIR"
